PID,Gender,Length,Estimations
007,Non-binary,50,40
007,Non-binary,120,90
007,Non-binary,10,5
007,Non-binary,100,75
PID,Gender,Length,Estimations
03,Male,50,50
03,Male,120,100
03,Male,10,10
03,Male,100,60
PID,Gender,Length,Estimations
04,Male,50,50
04,Male,120,110
04,Male,10,10
04,Male,100,100
PID,Gender,Length,Estimations
20909572,Male,50,50
20909572,Male,120,120
20909572,Male,10,10
20909572,Male,100,73
PID,Gender,Length,Estimations
britt,Male,50,50
britt,Male,120,166
britt,Male,10,15
britt,Male,100,100
PID,Gender,Length,Estimations
tham,Female,50,50
tham,Female,120,120
tham,Female,10,10
tham,Female,100,100
PID,Gender,Length,Estimations
aaron,Male,50,50
aaron,Male,120,110
aaron,Male,10,10
aaron,Male,100,100
PID,Gender,Length,Estimations
aiden,Male,50,
aiden,Male,120,120
aiden,Male,10,15
aiden,Male,100,100
PID,Gender,Length,Estimations
20785596,Male,50,50
20785596,Male,120,120
20785596,Male,10,3
20785596,Male,100,75
PID,Gender,Length,Estimations
323,Female,50,
323,Female,120,120
323,Female,10,3
323,Female,100,2
PID,Gender,Length,Estimations
02,Male,50,50
02,Male,120,100
02,Male,10,10
02,Male,100,70
PID,Gender,Length,Estimations
01,Male,50,50
01,Male,120,100
01,Male,10,10
01,Male,100,100
PID,Gender,Length,Estimations
ishanee,Female,50,50
ishanee,Female,120,150
ishanee,Female,10,20
ishanee,Female,100,85
PID,Gender,Length,Estimations
matthewyeung,Male,50,50
matthewyeung,Male,120,120
matthewyeung,Male,10,15
matthewyeung,Male,100,90
PID,Gender,Length,Estimations
sai,Male,50,50
sai,Male,120,120
sai,Male,10,10
sai,Male,100,80
PID,Gender,Length,Estimations
salone,Female,50,
salone,Female,120,100
salone,Female,10,10
salone,Female,100,70
PID,Gender,Length,Estimations
sarah,Female,50,50
sarah,Female,120,115
sarah,Female,10,10
sarah,Female,100,95
PID,Gender,Length,Estimations
sim,Male,50,50
sim,Male,120,140
sim,Male,10,20
sim,Male,100,130
